Epic ID,Epic Name,Description,Confidence
E01,Public Reservation Experience,"Build a modern, mobile-first public portal on Experience Cloud (Digital Experiences) for trip planning and reservation booking. Supports multiple inventory types (campsites, permits, tickets, passes, lotteries), advanced search with maps/satellite imagery (1m GSD via Mapbox/ArcGIS integration), white-label widgets for agency websites, and Section 508/WCAG Level AA accessibility.",Confirmed
E02,Agency & Field User Portal,"Build partner community portals on Experience Cloud for 5,000 internal stakeholders (Agency Program Managers, field users at 6,000+ facilities, concessionaires). Role-based access for inventory management, reservation overrides, business rule configuration, and reporting. Offline-capable mobile app for field users (Salesforce Mobile SDK with local storage) at remote sites.",Confirmed
E03,Contact Center Operations,"Implement Service Cloud omni-channel contact center supporting 10am-12am ET operations, 365 days/year (closed Thanksgiving, Christmas, New Year's). Multi-channel support (phone via Service Cloud Voice, chat, email), case management, knowledge base, and customer service training programs. Integrate with toll-free number provided by Government.",Confirmed
E04,Reservation Engine & Business Rules,"Build complex reservation logic engine on Salesforce Platform with custom objects (Campsite, Facility, Permit, Ticket, Pass, Lottery, Season, Business Rule). Implement dynamic booking windows, cut-off windows, sliding window freeze, block release, rolling release, maximum length of stay, and seasonal configurations. Support for 6,000+ facilities each with unique business rules.",Confirmed
E05,Payment Processing & Financial Management,"Integrate Worldpay (credit/debit card processor) and US Bank Lockbox (cash/check) with Salesforce Platform APIs. Implement PCI DSS compliance via tokenization, automated financial reconciliation (match transactions to bank data), exception handling, chargeback processing, and standard/ad-hoc financial reporting. Coordinate with external vendor for EMV terminal lifecycle management at field sites.",Assumed
E06,Recreation Information Database (RIDB),"Implement RIDB as the aggregation hub for all federal recreation data (reservable + non-reservable inventory) using Data Cloud. Ingest data from agency Content Management Systems via secure automated feeds. Provide public-facing open APIs (bulk download in CSV format, tokenized access) and searchable interfaces. Display RIDB data on maps and lists in public portal.",Confirmed
E07,"Security, Compliance & Authority to Operate (ATO)","Configure Salesforce Government Cloud for FedRAMP Moderate compliance and obtain USDA Authority to Operate (ATO). Implement Zero Trust architecture, Login.gov SSO integration (public users), MFA for government users, Shield encryption for PII (customer data, transaction data), Platform Event Monitoring for audit trails, and role-based access controls. Deliver security plan, annual updates, and monthly security monitoring.",Confirmed
E08,Data Migration & Transition,"Migrate 21M+ historical reservation records, 6,000+ facility inventory definitions (including business rules), and 10M+ user profiles from incumbent proprietary system to Salesforce. Use Data Loader, external ETL tool (MuleSoft or Heroku), and phased migration approach (Inventory → Active Reservations → Historical Data → User Profiles). Support parallel operations period for validation. Coordinate with incumbent contractor per SOO Section 6.3 transition-out requirements.",Confirmed
E09,Analytics & Reporting,"Build CRM Analytics (Tableau) dashboards for PMO (program oversight, performance metrics), Agency Program Managers (reservation trends, revenue, utilization), and public-facing customer behavior insights. Support standard reports (e.g., monthly performance for QASP) and ad-hoc queries. Integrate with contact center and financial systems for end-to-end visibility.",Confirmed
E10,Marketing & Communications,"Implement Marketing Cloud for outreach campaigns, SEO optimization, broadcast messaging (push notifications, SMS, email), and customer feedback collection across all channels. Support annual outreach strategy development, multi-channel notifications (e.g., 'Your favorite campground just opened reservations'), and A/B testing for conversion optimization. NOTE: Likely out of MVP scope; flagged as optional enhancement.",Unknown
E11,Training & Program Management,"Develop comprehensive training programs for government users (APMs, field staff, concessionaires) and public users (self-service KB articles, FAQs). Establish Agile program management practices: sprint planning, backlog management, UAT coordination, quarterly PMRs, QASP-based surveillance, and DevOps Center for CI/CD. Produce system documentation (architecture, code annotations, user guides) per SOO Section 6.2.",Confirmed
